Date,Status,X,Y,Z,Source,Time,SessionTime
2024-05-19 13:03:16.884,OnTrack,-3483.0,-1694.0,794.0,pos,0 days 00:00:00.290000,0 days 00:55:36.898000
2024-05-19 13:03:17.204,OnTrack,-3484.0,-1694.0,794.0,pos,0 days 00:00:00.610000,0 days 00:55:37.218000
2024-05-19 13:03:17.464,OnTrack,-3493.0,-1694.0,794.0,pos,0 days 00:00:00.870000,0 days 00:55:37.478000
2024-05-19 13:03:17.644,OnTrack,-3502.0,-1694.0,794.0,pos,0 days 00:00:01.050000,0 days 00:55:37.658000
2024-05-19 13:03:17.864,OnTrack,-3523.0,-1694.0,794.0,pos,0 days 00:00:01.270000,0 days 00:55:37.878000
2024-05-19 13:03:18.184,OnTrack,-3549.0,-1694.0,794.0,pos,0 days 00:00:01.590000,0 days 00:55:38.198000
2024-05-19 13:03:18.404,OnTrack,-3577.0,-1694.0,794.0,pos,0 days 00:00:01.810000,0 days 00:55:38.418000
2024-05-19 13:03:18.704,OnTrack,-3637.0,-1693.0,795.0,pos,0 days 00:00:02.110000,0 days 00:55:38.718000
2024-05-19 13:03:19.064,OnTrack,-3691.0,-1690.0,795.0,pos,0 days 00:00:02.470000,0 days 00:55:39.078000
2024-05-19 13:03:19.224,OnTrack,-3726.0,-1688.0,795.0,pos,0 days 00:00:02.630000,0 days 00:55:39.238000
2024-05-19 13:03:19.584,OnTrack,-3821.0,-1681.0,795.0,pos,0 days 00:00:02.990000,0 days 00:55:39.598000
2024-05-19 13:03:19.824,OnTrack,-3884.0,-1674.0,796.0,pos,0 days 00:00:03.230000,0 days 00:55:39.838000
2024-05-19 13:03:20.024,OnTrack,-3945.0,-1667.0,796.0,pos,0 days 00:00:03.430000,0 days 00:55:40.038000
2024-05-19 13:03:20.224,OnTrack,-4011.0,-1657.0,797.0,pos,0 days 00:00:03.630000,0 days 00:55:40.238000
2024-05-19 13:03:20.604,OnTrack,-4150.0,-1633.0,797.0,pos,0 days 00:00:04.010000,0 days 00:55:40.618000
2024-05-19 13:03:21.325,OnTrack,-4507.0,-1555.0,799.0,pos,0 days 00:00:04.731000,0 days 00:55:41.339000
2024-05-19 13:03:21.705,OnTrack,-4658.0,-1519.0,800.0,pos,0 days 00:00:05.111000,0 days 00:55:41.719000
2024-05-19 13:03:21.885,OnTrack,-4752.0,-1496.0,801.0,pos,0 days 00:00:05.291000,0 days 00:55:41.899000
2024-05-19 13:03:22.125,OnTrack,-4880.0,-1465.0,802.0,pos,0 days 00:00:05.531000,0 days 00:55:42.139000
2024-05-19 13:03:22.185,OnTrack,-4913.0,-1456.0,802.0,pos,0 days 00:00:05.591000,0 days 00:55:42.199000
2024-05-19 13:03:22.405,OnTrack,-5035.0,-1426.0,803.0,pos,0 days 00:00:05.811000,0 days 00:55:42.419000
2024-05-19 13:03:22.605,OnTrack,-5147.0,-1399.0,804.0,pos,0 days 00:00:06.011000,0 days 00:55:42.619000
2024-05-19 13:03:22.825,OnTrack,-5272.0,-1369.0,805.0,pos,0 days 00:00:06.231000,0 days 00:55:42.839000
2024-05-19 13:03:23.025,OnTrack,-5388.0,-1342.0,806.0,pos,0 days 00:00:06.431000,0 days 00:55:43.039000
2024-05-19 13:03:23.305,OnTrack,-5622.0,-1295.0,808.0,pos,0 days 00:00:06.711000,0 days 00:55:43.319000
2024-05-19 13:03:23.604,OnTrack,-5732.0,-1277.0,809.0,pos,0 days 00:00:07.010000,0 days 00:55:43.618000
2024-05-19 13:03:23.804,OnTrack,-5858.0,-1261.0,810.0,pos,0 days 00:00:07.210000,0 days 00:55:43.818000
2024-05-19 13:03:24.124,OnTrack,-6071.0,-1242.0,812.0,pos,0 days 00:00:07.530000,0 days 00:55:44.138000
2024-05-19 13:03:24.264,OnTrack,-6167.0,-1237.0,813.0,pos,0 days 00:00:07.670000,0 days 00:55:44.278000
2024-05-19 13:03:24.544,OnTrack,-6448.0,-1230.0,814.0,pos,0 days 00:00:07.950000,0 days 00:55:44.558000
2024-05-19 13:03:24.924,OnTrack,-6634.0,-1229.0,815.0,pos,0 days 00:00:08.330000,0 days 00:55:44.938000
2024-05-19 13:03:25.084,OnTrack,-6749.0,-1230.0,816.0,pos,0 days 00:00:08.490000,0 days 00:55:45.098000
2024-05-19 13:03:25.284,OnTrack,-6896.0,-1233.0,816.0,pos,0 days 00:00:08.690000,0 days 00:55:45.298000
2024-05-19 13:03:25.484,OnTrack,-7043.0,-1237.0,817.0,pos,0 days 00:00:08.890000,0 days 00:55:45.498000
2024-05-19 13:03:25.804,OnTrack,-7281.0,-1249.0,818.0,pos,0 days 00:00:09.210000,0 days 00:55:45.818000
2024-05-19 13:03:26.004,OnTrack,-7477.0,-1265.0,818.0,pos,0 days 00:00:09.410000,0 days 00:55:46.018000
2024-05-19 13:03:26.344,OnTrack,-7690.0,-1286.0,818.0,pos,0 days 00:00:09.750000,0 days 00:55:46.358000
2024-05-19 13:03:26.664,OnTrack,-8141.0,-1340.0,818.0,pos,0 days 00:00:10.070000,0 days 00:55:46.678000
2024-05-19 13:03:26.964,OnTrack,-8452.0,-1382.0,819.0,pos,0 days 00:00:10.370000,0 days 00:55:46.978000
2024-05-19 13:03:27.465,OnTrack,-8813.0,-1432.0,819.0,pos,0 days 00:00:10.871000,0 days 00:55:47.479000
2024-05-19 13:03:27.705,OnTrack,-8923.0,-1448.0,819.0,pos,0 days 00:00:11.111000,0 days 00:55:47.719000
2024-05-19 13:03:27.905,OnTrack,-9081.0,-1473.0,819.0,pos,0 days 00:00:11.311000,0 days 00:55:47.919000
2024-05-19 13:03:28.225,OnTrack,-9421.0,-1551.0,819.0,pos,0 days 00:00:11.631000,0 days 00:55:48.239000
2024-05-19 13:03:28.585,OnTrack,-9600.0,-1606.0,819.0,pos,0 days 00:00:11.991000,0 days 00:55:48.599000
2024-05-19 13:03:28.905,OnTrack,-9868.0,-1691.0,818.0,pos,0 days 00:00:12.311000,0 days 00:55:48.919000
2024-05-19 13:03:29.225,OnTrack,-9993.0,-1730.0,819.0,pos,0 days 00:00:12.631000,0 days 00:55:49.239000
2024-05-19 13:03:29.465,OnTrack,-10145.0,-1778.0,818.0,pos,0 days 00:00:12.871000,0 days 00:55:49.479000
2024-05-19 13:03:29.785,OnTrack,-10222.0,-1810.0,818.0,pos,0 days 00:00:13.191000,0 days 00:55:49.799000
2024-05-19 13:03:30.104,OnTrack,-10317.0,-1887.0,818.0,pos,0 days 00:00:13.510000,0 days 00:55:50.118000
2024-05-19 13:03:30.304,OnTrack,-10361.0,-1955.0,818.0,pos,0 days 00:00:13.710000,0 days 00:55:50.318000
2024-05-19 13:03:30.384,OnTrack,-10374.0,-1986.0,818.0,pos,0 days 00:00:13.790000,0 days 00:55:50.398000
2024-05-19 13:03:30.704,OnTrack,-10428.0,-2168.0,819.0,pos,0 days 00:00:14.110000,0 days 00:55:50.718000
2024-05-19 13:03:31.024,OnTrack,-10454.0,-2245.0,819.0,pos,0 days 00:00:14.430000,0 days 00:55:51.038000
2024-05-19 13:03:31.284,OnTrack,-10502.0,-2340.0,819.0,pos,0 days 00:00:14.690000,0 days 00:55:51.298000
2024-05-19 13:03:31.564,OnTrack,-10578.0,-2435.0,818.0,pos,0 days 00:00:14.970000,0 days 00:55:51.578000
2024-05-19 13:03:31.724,OnTrack,-10631.0,-2483.0,818.0,pos,0 days 00:00:15.130000,0 days 00:55:51.738000
2024-05-19 13:03:31.964,OnTrack,-10743.0,-2563.0,819.0,pos,0 days 00:00:15.370000,0 days 00:55:51.978000
2024-05-19 13:03:32.384,OnTrack,-10889.0,-2652.0,820.0,pos,0 days 00:00:15.790000,0 days 00:55:52.398000
2024-05-19 13:03:32.464,OnTrack,-10923.0,-2672.0,820.0,pos,0 days 00:00:15.870000,0 days 00:55:52.478000
2024-05-19 13:03:32.784,OnTrack,-11064.0,-2753.0,822.0,pos,0 days 00:00:16.190000,0 days 00:55:52.798000
2024-05-19 13:03:33.004,OnTrack,-11164.0,-2812.0,822.0,pos,0 days 00:00:16.410000,0 days 00:55:53.018000
2024-05-19 13:03:33.224,OnTrack,-11316.0,-2903.0,824.0,pos,0 days 00:00:16.630000,0 days 00:55:53.238000
2024-05-19 13:03:33.524,OnTrack,-11412.0,-2965.0,824.0,pos,0 days 00:00:16.930000,0 days 00:55:53.538000
2024-05-19 13:03:33.825,OnTrack,-11598.0,-3124.0,825.0,pos,0 days 00:00:17.231000,0 days 00:55:53.839000
2024-05-19 13:03:34.105,OnTrack,-11659.0,-3199.0,825.0,pos,0 days 00:00:17.511000,0 days 00:55:54.119000
2024-05-19 13:03:34.385,OnTrack,-11748.0,-3351.0,826.0,pos,0 days 00:00:17.791000,0 days 00:55:54.399000
2024-05-19 13:03:34.565,OnTrack,-11796.0,-3457.0,826.0,pos,0 days 00:00:17.971000,0 days 00:55:54.579000
2024-05-19 13:03:34.805,OnTrack,-11875.0,-3664.0,827.0,pos,0 days 00:00:18.211000,0 days 00:55:54.819000
2024-05-19 13:03:35.245,OnTrack,-11954.0,-3875.0,828.0,pos,0 days 00:00:18.651000,0 days 00:55:55.259000
2024-05-19 13:03:35.485,OnTrack,-12012.0,-4028.0,828.0,pos,0 days 00:00:18.891000,0 days 00:55:55.499000
2024-05-19 13:03:35.585,OnTrack,-12036.0,-4092.0,829.0,pos,0 days 00:00:18.991000,0 days 00:55:55.599000
2024-05-19 13:03:35.785,OnTrack,-12084.0,-4222.0,829.0,pos,0 days 00:00:19.191000,0 days 00:55:55.799000
2024-05-19 13:03:35.945,OnTrack,-12124.0,-4327.0,830.0,pos,0 days 00:00:19.351000,0 days 00:55:55.959000
2024-05-19 13:03:36.145,OnTrack,-12174.0,-4460.0,830.0,pos,0 days 00:00:19.551000,0 days 00:55:56.159000
2024-05-19 13:03:36.525,OnTrack,-12270.0,-4717.0,830.0,pos,0 days 00:00:19.931000,0 days 00:55:56.539000
2024-05-19 13:03:36.624,OnTrack,-12296.0,-4786.0,831.0,pos,0 days 00:00:20.030000,0 days 00:55:56.638000
2024-05-19 13:03:36.784,OnTrack,-12338.0,-4896.0,831.0,pos,0 days 00:00:20.190000,0 days 00:55:56.798000
2024-05-19 13:03:37.044,OnTrack,-12442.0,-5175.0,832.0,pos,0 days 00:00:20.450000,0 days 00:55:57.058000
2024-05-19 13:03:37.344,OnTrack,-12485.0,-5288.0,832.0,pos,0 days 00:00:20.750000,0 days 00:55:57.358000
2024-05-19 13:03:37.604,OnTrack,-12554.0,-5474.0,833.0,pos,0 days 00:00:21.010000,0 days 00:55:57.618000
2024-05-19 13:03:37.924,OnTrack,-12641.0,-5704.0,833.0,pos,0 days 00:00:21.330000,0 days 00:55:57.938000
2024-05-19 13:03:38.144,OnTrack,-12701.0,-5865.0,833.0,pos,0 days 00:00:21.550000,0 days 00:55:58.158000
2024-05-19 13:03:38.324,OnTrack,-12791.0,-6099.0,834.0,pos,0 days 00:00:21.730000,0 days 00:55:58.338000
2024-05-19 13:03:38.564,OnTrack,-12820.0,-6172.0,834.0,pos,0 days 00:00:21.970000,0 days 00:55:58.578000
2024-05-19 13:03:38.944,OnTrack,-12965.0,-6524.0,835.0,pos,0 days 00:00:22.350000,0 days 00:55:58.958000
2024-05-19 13:03:39.264,OnTrack,-13032.0,-6679.0,836.0,pos,0 days 00:00:22.670000,0 days 00:55:59.278000
2024-05-19 13:03:39.464,OnTrack,-13087.0,-6816.0,836.0,pos,0 days 00:00:22.870000,0 days 00:55:59.478000
2024-05-19 13:03:39.644,OnTrack,-13127.0,-6933.0,837.0,pos,0 days 00:00:23.050000,0 days 00:55:59.658000
2024-05-19 13:03:39.844,OnTrack,-13154.0,-7050.0,837.0,pos,0 days 00:00:23.250000,0 days 00:55:59.858000
